Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles)
7221,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,147,75.1
7821,NEC,Trenton,Weekend/Holiday,AM,13,Local,93,58.1
7225,NJCL,Long Branch,Weekend/Holiday,AM,16,Local,97,53.9
7625,NJCL,Rahway,Weekend/Holiday,AM,7,Local,42,20.7
7825,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1
7229,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,148,75.1
7629,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41,20.7
7829,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1
7233,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,100,53.9
7833,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1
7237,NJCL,Long Branch-BH,Weekend/Holiday,AM,25,Local,148,75.1
7637,NJCL,Rahway,Weekend/Holiday,AM,7,Local,41,20.7
7837,NEC,Trenton,Weekend/Holiday,AM,13,Local,94,58.1
7839,NEC,Rahway,Weekend/Holiday,PM,6,Local,36,20.7
7241,NJCL,Long Branch,Weekend/Holiday,PM,13,Semi-Local,91,53.9
7841,NEC,Trenton,Weekend/Holiday,PM,14,Local,98,58
8841,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,88,58.1
7245,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1
7845,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1
7847,NEC,Trenton,Weekend/Holiday,PM,10,Express,96,58.1
7249,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,99,53.9
7849,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1
7851,NEC,Trenton,Weekend/Holiday,PM,10,Express,88,58.1
7253,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1
7853,NEC,Trenton,Weekend/Holiday,PM,14,Local,93,58.1
7855,NEC,Trenton,Weekend/Holiday,PM,10,Express,90,58.1
7657,NJCL,Rahway,Weekend/Holiday,PM,7,Local,43,20.7
7257,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,99,53.9
7857,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1
8325,NJCL,Bay Head,Weekend/Holiday Extra,PM,22,Express,130,75.1
7859,NEC,Trenton,Weekend/Holiday,PM,10,Express,91,58.1
7661,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7
7261,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1
7861,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1
8861,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,80,58.1
7863,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1
7665,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7
7265,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local,149,75.1
7865,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1
8865,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express,87,58.1
7867,NEC,Trenton,Weekend/Holiday,PM,10,Express,85,58.1
7269,NJCL,Long Branch,Weekend/Holiday,PM,17,Local,100,53.9
7869,NEC,Trenton,Weekend/Holiday,PM,13,Local,94,58.1
7673,NJCL,Rahway,Weekend/Holiday,PM,6,Local,39,20.7
7871,NEC,Trenton,Weekend/Holiday,PM,10,Express,87,58.1
7273,NJCL,Long Branch-BH,Weekend/Holiday,PM,23,Local,140,75.1
7873,NEC,Trenton,Weekend/Holiday,PM,13,Local,93,58.1
7875,NEC,Trenton,Weekend/Holiday,PM,9,Express,85,58.1
7277,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,142,75.1
7877,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1
7879,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1
7281,NJCL,Long Branch,Weekend/Holiday,PM,16,Local,97,53.9
7881,NEC,Trenton,Weekend/Holiday,PM,14,Local,94,58.1
7883,NEC,Trenton,Weekend/Holiday,PM,9,Express,83,58.1
7285,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local,142,75.1
7885,NEC,Trenton,Weekend/Holiday,PM,14,Local,100,58.1
7201,NJCL,Long Branch,Weekend/Holiday,Late Night,17,Local,103,53.9
7887,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,99,58.1
7801,NEC,Trenton,Weekend/Holiday,Late Night,14,Local,99,58.1
7205,NJCL,Long Branch-BH,Weekend/Holiday,Late Night,25,Local,147,75.1
7805,NEC,Trenton,Weekend/Holiday,Late Night,15,Local,104,58.1
5121,RVL,Raritan,Weekday,AM,14,Local,87,39.1
5123,RVL,Raritan,Weekday,AM,14,Local,83,39.1
5175,RVL,High Bridge,Weekday,PM,19,Local,112,55.9
5127,RVL,Raritan,Weekday,PM,15,Local,85,39.1
5179,RVL,High Bridge,Weekday,PM,20,Local,111,55.9
5193,RVL,High Bridge,Weekday,PM,20,Local,109,55.9
5155,RVL,Raritan,Weekday,PM,15,Local,81,39.1
5197,RVL,High Bridge,Weekday,PM,19,Local,108,55.9
