Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles),Configuration Direction,Expected Average Speed En Route (mph),Expected Average Acceleration En Route
3713,NEC,Jersey Avenue,Weekday,AM,9,Semi-Local,61,34.4,W,33.83606557377049,5.44150497178178
3825,NEC,Trenton,Weekday,AM,14,Local,95,58.1,R,36.69473684210526,3.789214404432133
3827,NEC,Trenton,Weekday,AM,14,Local,95,58.1,R,36.69473684210526,3.789214404432133
3915,NEC,Trenton,Weekday,AM,11,Semi-Local,91,58.1,R,38.30769230769231,4.129653423499579
3227,NJCL,Long Branch,Weekday,AM,15,Local,99,53.9,R,32.66666666666666,3.236969696969697
3917,NEC,Trenton,Weekday,AM,7,Express,75,58.1,R,46.48,6.079584000000001
3829,NEC,Trenton,Weekday,AM,13,Local,90,58.1,W,38.73333333333333,4.221933333333334
3831,NEC,Trenton,Weekday,AM,15,Local,97,58.1,R,35.93814432989691,3.634569029652461
3231,NJCL,Long Branch-BH,Weekday,AM,25,Local,145,75.1,W,31.07586206896551,2.102442806183115
3833,NEC,Trenton,Weekday,AM,13,Local,89,58.1,W,39.16853932584269,4.317341244792324
3835,NEC,Trenton,Weekday,AM,14,Local,91,58.1,W,38.30769230769231,4.129653423499579
3235,NJCL,Long Branch-BH,Weekday,AM,25,Local,147,75.1,W,30.65306122448979,2.045622657226156
3837,NEC,Trenton,Weekday,AM,14,Local,93,58.1,R,37.48387096774194,3.953943808532778
3839,NEC,Trenton,Weekday,AM,14,Local,96,58.1,W,36.3125,3.71068359375
3239,NJCL,Long Branch,Weekday,AM,17,Local,100,53.9,W,32.34,3.172554
3841,NEC,Trenton,Weekday,PM,15,Local,94,58.1,R,37.08510638297872,3.870264825712992
3843,NEC,Trenton,Weekday,PM,14,Local,95,58.1,R,36.69473684210526,3.789214404432133
3243,NJCL,Long Branch-BH,Weekday,PM,25,Local,148,75.1,R,30.44594594594594,2.018072498173849
3845,NEC,Trenton,Weekday,PM,14,Local,94,58.1,W,37.08510638297872,3.870264825712992
8245,NJCL,Long Branch,Weekday Extra,PM,13,Semi-Local,94,53.9,W,34.40425531914894,3.590486645540969
3847,NEC,Trenton,Weekday,PM,15,Local,99,58.1,R,35.21212121212121,3.489201101928375
3247,NJCL,Long Branch,Weekday,PM,14,Semi-Local,96,53.9,W,33.6875,3.44244140625
8849,NEC,Trenton,Weekday Extra,PM,7,Express,79,58.1,R,44.12658227848102,5.479516103188592
3849,NEC,Trenton,Weekday,PM,14,Local,97,58.1,R,35.93814432989691,3.634569029652461
8851,NEC,Trenton,Weekday Extra,PM,8,Express,85,58.1,W,41.01176470588236,4.733240138408305
3719,NEC,Jersey Avenue,Weekday,PM,12,Local,69,34.4,W,29.91304347826087,4.252854442344046
8249,NJCL,Long Branch,Weekday Extra,PM,12,Express,96,53.9,R,33.6875,3.44244140625
3251,NJCL,Long Branch-BH,Weekday,PM,22,Semi-Local,137,75.1,W,32.89051094890511,2.35515264531941
3937,NEC,Trenton,Weekday,PM,7,Express,78,58.1,W,44.69230769230769,5.620917159763314
3753,NJCL,Jersey Avenue,Weekday,PM,11,Local,68,34.4,W,30.35294117647059,4.378858131487889
8353,NJCL,Bay Head,Weekday Extra,PM,20,Express,130,75.1,W,34.66153846153846,2.615613017751479
8855,NEC,Trenton,Weekday Extra,PM,5,Super-Express,73,58.1,R,47.75342465753425,6.417275286170013
3509,NJCL,South Amboy,Weekday,PM,11,Local,64,30.1,W,28.21875,4.3254052734375
3855,NEC,Trenton,Weekday,PM,10,Express,84,58.1,W,41.5,4.846607142857144
3857,NEC,Trenton,Weekday,PM,12,Semi-Local,90,58.1,R,38.73333333333333,4.221933333333334
3255,NJCL,Long Branch-BH,Weekday,PM,18,Express,129,75.1,R,34.93023255813953,2.656322336398053
3721,NEC,Jersey Avenue,Weekday,PM,8,Express,63,34.4,R,32.76190476190476,5.101496598639455
3595,NJCL,South Amboy,Weekday,PM,11,Local,66,30.1,W,27.36363636363636,4.067231404958678
3943,NEC,Trenton,Weekday,PM,5,Super-Express,73,58.1,R,47.75342465753425,6.417275286170013
3723,NEC,Jersey Avenue,Weekday,PM,7,Express,62,34.4,W,33.29032258064516,5.26738813735692
3361,NJCL,Bay Head,Weekday,PM,21,Express,130,75.1,W,34.66153846153846,2.615613017751479
3861,NEC,Trenton,Weekday,PM,14,Local,92,58.1,W,37.89130434782609,4.040366257088847
3947,NEC,Trenton,Weekday,PM,5,Super-Express,72,58.1,W,48.41666666666667,6.596770833333334
3165,NEC,Jersey Avenue,Weekday,PM,8,Express,63,34.4,W,32.76190476190476,5.101496598639455
3363,NJCL,Bay Head,Weekday,PM,19,Express,126,75.1,R,35.76190476190476,2.784319727891157
3949,NEC,Trenton,Weekday,PM,4,Super-Express,72,58.1,R,48.41666666666667,6.596770833333334
3511,NJCL,South Amboy,Weekday,PM,10,Local,61,30.1,R,29.60655737704918,4.761316850309057
3725,NEC,Jersey Avenue,Weekday,PM,7,Express,58,34.4,R,35.58620689655172,6.0189774078478
3951,NEC,Trenton,Weekday,PM,5,Super-Express,74,58.1,W,47.10810810810811,6.245007304601899
3265,NJCL,Long Branch,Weekday,PM,13,Express,93,53.9,R,34.7741935483871,3.668116545265349
3867,NEC,Trenton,Weekday,PM,12,Semi-Local,96,58.1,R,36.3125,3.71068359375
3513,NJCL,South Amboy,Weekday,PM,11,Local,65,30.1,W,27.78461538461539,4.193339644970415
3267,NJCL,Long Branch-BH,Weekday,PM,18,Express,131,75.1,R,34.3969465648855,2.575832410698677
3727,NEC,Jersey Avenue,Weekday,PM,7,Express,59,34.4,W,34.98305084745763,5.816673369721345
3953,NEC,Trenton,Weekday,PM,5,Super-Express,71,58.1,R,49.09859154929578,6.783903987304107
3871,NEC,Trenton,Weekday,PM,11,Express,85,58.1,W,41.01176470588236,4.733240138408305
3271,NJCL,Long Branch,Weekday,PM,17,Local,106,53.9,W,30.50943396226415,2.823561765752937
3957,NEC,Trenton,Weekday,PM,4,Super-Express,72,58.1,W,48.41666666666667,6.596770833333334
3373,NJCL,Bay Head,Weekday,PM,19,Express,128,75.1,R,35.203125,2.697989501953125
3959,NEC,Trenton,Weekday,PM,7,Express,83,58.1,R,42.00000000000001,4.964096385542169
3873,NEC,Trenton,Weekday,PM,11,Semi-Local,90,58.1,R,38.73333333333333,4.221933333333334
3515,NJCL,South Amboy,Weekday,PM,11,Local,72,30.1,R,25.08333333333334,3.417604166666667
3275,NJCL,Long Branch-BH,Weekday,PM,19,Express,133,75.1,R,33.8796992481203,2.498946237774888
3175,NEC,Jersey Avenue,Weekday,PM,8,Express,59,34.4,R,34.98305084745763,5.816673369721345
3961,NEC,Trenton,Weekday,PM,6,Express,77,58.1,R,45.27272727272727,5.767863046044865
3875,NEC,Trenton,Weekday,PM,15,Local,98,58.1,R,35.57142857142857,3.560772594752187
3279,NEC,Long Branch-BH,Weekday,PM,23,Semi-Local,140,75.1,R,32.18571428571428,2.255298979591837
3963,NEC,Trenton,Weekday,PM,8,Express,84,58.1,W,41.5,4.846607142857144
3733,NEC,Jersey Avenue,Weekday,PM,8,Express,62,34.4,W,33.29032258064516,5.26738813735692
3281,NJCL,Long Branch,Weekday,PM,16,Local,95,53.9,W,34.04210526315789,3.515295290858726
3881,NEC,Trenton,Weekday,PM,14,Local,93,58.1,W,37.48387096774194,3.953943808532778
3965,NEC,Trenton,Weekday,PM,6,Express,78,58.1,W,44.69230769230769,5.620917159763314
3883,NEC,Trenton,Weekday,PM,15,Local,99,58.1,W,35.21212121212121,3.489201101928375
3969,NEC,Trenton,Weekday,PM,7,Express,80,58.1,R,43.575,5.343384375
3283,NJCL,Long Branch-BH,Weekday,PM,23,Semi-Local,140,75.1,W,32.18571428571428,2.255298979591837
3885,NEC,Trenton,Weekday,PM,11,Express,90,58.1,W,38.73333333333333,4.221933333333334
3285,NJCL,Long Branch,Weekday,PM,17,Local,100,53.9,W,32.34,3.172554
3887,NEC,Trenton,Weekday,PM,12,Semi-Local,88,58.1,W,39.61363636363637,4.4160201446281
